Symbol,Name,MarketCap_Cr,BSECode,Segment,Exchange,Platform
MUL,Mauria Udyog Ltd,100.3,539219,micro,BSE,BSE Main Board+BSE SME
TITANSEC,Titan Securities Ltd,100.31,530045,micro,BSE,BSE Main Board+BSE SME
ALKALI,Alkali Metals Limited,100.61,533029,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SIL,Standard Industries Limited,101.06,530017,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
NEXOME,Nexome Capital Markets Ltd,101.34,508905,micro,BSE,BSE Main Board+BSE SME
VISTARAMAR,Vistar Amar Ltd,101.4,538565,micro,BSE,BSE Main Board+BSE SME
AMTECH,Amtech Esters Ltd,101.51,544920,micro,BSE,BSE Main Board+BSE SME
PARVATI,Parvati Sweetners and Power Ltd,101.57,541347,micro,BSE,BSE Main Board+BSE SME
APOLLOIN,Apollo Ingredients Ltd,101.76,503639,micro,BSE,BSE Main Board+BSE SME
MOTOGENFIN,The Motor & General Finance Limited,102.05,501343,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
SPTRSHI,Saptarishi Agro Industries Ltd,102.07,519238,micro,BSE,BSE Main Board+BSE SME
VIPPYSP,Vippy Spinpro Ltd,102.14,514302,micro,BSE,BSE Main Board+BSE SME
ULTRACAB,Ultracab (India) Ltd,102.18,538706,micro,BSE,BSE Main Board+BSE SME
NAPL,Naturite Agro Products Ltd,102.19,538926,micro,BSE,BSE Main Board+BSE SME
PIONRINV,Pioneer Investcorp Limited,102.31,507864,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
DEEPAKSP,Deepak Spinners Ltd,102.63,514030,micro,BSE,BSE Main Board+BSE SME
MPKSTEELS,M P K Steels (I) Ltd,102.73,544553,micro,BSE,BSE Main Board+BSE SME
OPTIFIN,Optimus Finance Limited,102.82,531254,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
NARMADA,Narmada Agrobase Limited,102.88,543643,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
ANKIN,Anka India Ltd,103.14,531673,micro,BSE,BSE Main Board+BSE SME
BASANTGL,Basant Agro Tech India Ltd,103.22,524687,micro,BSE,BSE Main Board+BSE SME
SURATRAML,Surat Trade and Mercantile Ltd,103.26,530185,micro,BSE,BSE Main Board+BSE SME
SAMRATFORG,Samrat Forgings Ltd,103.28,543229,micro,BSE,BSE Main Board+BSE SME
MRP,MRP Agro Ltd,103.49,543262,micro,BSE,BSE Main Board+BSE SME
LOVABLE,Lovable Lingerie Limited,103.59,533343,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
PRODOCS,Prodocs Solutions Ltd,103.64,544643,micro,BSE,BSE Main Board+BSE SME
AUTOPINS,Auto Pins (India) Ltd,104.1,531994,micro,BSE,BSE Main Board+BSE SME
THAKDEV,Thakkers Developers Limited,104.45,526654,micro,NSE+BSE,BSE Main Board+BSE SME+NSE Main Board
MNIL,Mega Nirman and Industries Ltd,104.59,539767,micro,BSE,BSE Main Board+BSE SME
